,playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos
473,Terrence Jones,23,4,8,0,1,1,2,1,3,5,1,0,1,0,1,10,F
474,Darrell Armstrong,23,3,7,1,3,1,2,0,1,2,4,1,0,1,1,9,G
475,Terrence Ross,23,3,9,1,5,1,1,0,2,2,1,0,0,0,1,10,F-G
476,Charlie Ward,23,2,5,1,2,0,1,0,2,2,4,1,0,1,2,6,G
477,Rudy Fernández,23,2,7,1,4,1,1,0,1,2,2,0,0,1,1,8,G
478,Sherman Douglas,23,3,6,0,0,1,2,0,1,1,3,0,0,1,1,7,G
479,Bo Outlaw,23,2,3,0,0,1,1,1,3,5,1,0,1,1,2,5,F
480,Austin Rivers,23,3,8,1,3,1,1,0,1,2,2,0,0,1,2,9,G
481,Ruben Patterson,23,4,7,0,0,2,3,1,2,4,1,1,0,1,2,10,F
482,Cedric Ceballos,23,4,10,0,1,2,3,1,3,5,1,0,0,1,2,12,F
483,OG Anunoby,23,3,6,1,3,0,1,0,2,3,0,0,0,0,2,7,F
484,Damion Lee,22,3,8,1,3,1,1,0,3,3,1,0,0,0,1,9,G
485,Royce O'Neale,22,2,4,0,2,0,0,0,3,4,1,0,0,0,2,5,F
486,Marcus Thornton,22,4,10,1,4,1,1,0,1,2,1,0,0,1,1,11,G
487,Mark Blount,22,3,6,0,0,1,1,1,3,4,0,0,0,1,2,8,C
488,Ben McLemore,22,3,7,1,3,1,1,0,1,2,1,0,0,1,2,8,G
489,Terry Rozier,22,3,8,1,4,1,1,0,3,3,2,0,0,1,1,9,G
490,Jonny Flynn,22,3,8,0,2,1,2,0,1,1,3,0,0,2,1,9,G
491,Derrick White,22,3,7,0,2,1,2,0,2,3,3,0,0,1,1,9,G
492,Andre Roberson,22,1,4,0,1,0,0,1,2,4,0,0,0,0,2,4,G-F
493,Kevin Porter Jr.,22,3,8,1,3,1,2,0,2,3,2,0,0,1,2,9,G
494,Brendan Haywood,22,2,4,0,0,1,2,2,3,5,0,0,1,1,2,6,C
495,Maurice Harkless,22,2,6,0,1,0,1,1,2,3,0,0,0,0,2,7,F-G
496,Cody Zeller,22,3,6,0,0,2,2,1,3,5,1,0,0,1,2,8,C-F
497,Corey Brewer,22,3,7,0,2,1,2,0,2,2,1,1,0,1,2,8,F-G
498,Gordan Giriček,22,3,8,0,2,1,1,0,1,2,1,0,0,1,1,9,G-F
499,Michael Beasley,22,5,10,0,1,1,2,1,3,4,1,0,0,1,2,12,F
500,Corliss Williamson,22,4,8,0,0,2,3,1,2,3,1,0,0,1,2,11,F
501,Lee Mayberry,22,1,4,0,2,0,0,0,1,1,4,0,0,1,2,4,G
502,Gerald Wilkins,22,3,7,0,2,1,1,0,1,1,1,0,0,1,1,7,G-F
503,Ronnie Brewer,22,3,6,0,0,1,2,0,1,2,1,1,0,0,1,7,G-F
504,Ramon Sessions,22,3,8,0,0,3,3,0,2,2,4,0,0,1,1,10,G
505,Mike James,22,3,8,1,2,1,1,0,1,2,3,0,0,1,1,9,G
506,Mike James,22,3,8,1,2,1,1,0,1,2,3,0,0,1,1,9,G
507,Brandon Clarke,22,5,8,0,1,1,1,1,4,5,1,0,0,0,1,12,F
508,Greivis Vásquez,22,3,8,1,2,1,1,0,2,2,4,0,0,1,1,8,G
509,Ky Bowman,22,2,7,0,2,0,0,0,2,2,2,0,0,1,2,7,G
510,Ronald Murray,22,3,8,0,2,1,2,0,1,2,2,0,0,1,1,9,G
511,Marco Belinelli,22,3,8,1,3,1,1,0,1,2,1,0,0,0,1,9,G-F
512,Willie Cauley-Stein,22,4,7,0,0,1,2,1,4,6,1,0,0,0,2,9,F-C
513,Daniel Gibson,22,2,6,1,3,1,1,0,1,1,1,0,0,0,1,7,G
514,Vincent Yarbrough,22,2,7,0,1,0,1,0,2,2,2,0,0,1,2,6,G-F
515,Luc Mbah a Moute,22,2,5,0,0,1,1,1,2,4,0,0,0,0,1,6,F
516,Langston Galloway,22,3,7,1,4,0,1,0,2,2,1,0,0,0,1,8,G
517,Kelenna Azubuike,22,3,8,0,2,1,2,1,2,3,1,0,0,0,1,10,G
518,Justin Holiday,22,2,7,1,4,0,1,0,2,2,1,0,0,0,1,8,F
519,Landry Fields,22,2,5,0,1,0,1,0,3,4,1,0,0,1,1,6,F
520,Jusuf Nurkić,22,4,9,0,0,2,3,2,5,8,1,0,1,2,3,11,C
521,Hubert Davis,22,2,6,0,2,0,0,0,1,1,1,0,0,0,1,7,G
522,Bruce Brown,22,2,5,0,1,0,1,0,2,3,2,0,0,1,2,6,G
523,Isaac Austin,22,3,7,0,0,1,2,1,3,5,1,0,0,1,2,8,C
524,Hot Rod Williams,22,1,3,0,0,1,1,1,3,5,0,0,1,0,2,4,F-C
525,Antonio Daniels,22,2,5,0,1,2,2,0,1,1,3,0,0,1,1,7,G
526,Larry Nance Jr.,22,3,6,0,0,1,1,2,4,6,1,1,0,0,2,7,F-C
527,Johnny Newman,22,3,7,0,1,2,3,0,1,1,1,0,0,1,2,9,F-G
528,Vinny Del Negro,22,3,6,0,0,0,1,0,1,2,2,0,0,0,1,7,G
529,Luc Longley,22,3,7,0,0,1,1,1,3,4,1,0,0,1,3,7,C
530,Anderson Varejão,22,2,5,0,0,1,2,2,4,6,1,0,0,0,2,6,F-C
531,Ersan İlyasova,22,3,8,1,2,1,1,1,3,5,1,0,0,0,2,10,F
532,Lindsey Hunter,22,2,7,1,3,0,1,0,1,2,2,1,0,1,1,7,G
533,Trey Burke,22,4,9,1,3,1,1,0,1,2,3,0,0,1,1,10,G
534,Jarvis Hayes,22,3,7,0,2,0,1,0,2,3,1,0,0,0,1,8,F
535,Eric Washington,21,2,6,0,2,0,1,0,1,2,1,0,0,1,2,6,G
536,Ervin Johnson,21,1,3,0,0,0,1,2,4,6,0,0,1,0,3,4,C
537,Cameron Johnson,21,3,7,1,4,0,1,0,2,3,1,0,0,0,1,8,F
538,Dorell Wright,21,2,6,1,3,1,1,0,3,3,1,0,0,0,1,8,F-G
539,Shandon Anderson,21,2,5,0,1,1,1,0,2,3,1,0,0,1,1,7,F-G
540,Maxi Kleber,21,2,5,1,3,0,1,1,3,4,0,0,0,0,2,7,F
