playerName,seasonStartYear,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,inflationAdjSalary
Elton Brand,2005,39.3,9.7,18.2,0.0,0.0,5.5,7.1,3.2,6.9,10.0,2.8,1.0,2.5,2.2,2.9,24.8,18371.957
Luol Deng,2010,39.3,6.4,14.1,1.4,4.1,3.1,4.1,1.5,4.5,5.9,2.8,1.0,0.6,1.9,2.1,17.3,14141.679
Dirk Nowitzki,2002,39.2,8.7,18.6,1.8,4.6,6.0,6.8,1.0,9.2,10.2,2.8,1.4,1.0,2.0,2.7,25.2,15204.932
Stephen Jackson,2008,39.2,7.0,16.9,1.7,5.2,5.0,6.0,1.2,3.9,5.1,6.5,1.5,0.5,3.9,2.6,20.7,8865.523
Tracy McGrady,2002,39.2,11.0,24.1,2.3,6.0,7.7,9.8,1.6,4.9,6.5,5.4,1.7,0.8,2.7,2.1,32.1,18232.629
Jamal Mashburn,2000,39.2,7.6,18.6,1.3,3.6,4.1,5.3,1.3,6.1,7.4,5.4,1.1,0.2,2.8,2.4,20.7,9770.969
Rudy Gay,2009,39.2,7.5,16.1,0.8,2.5,3.8,5.0,1.4,4.5,5.9,1.9,1.5,0.8,2.1,2.5,19.6,4132.882
Mookie Blaylock,1996,39.2,6.4,14.9,2.8,7.8,1.6,2.2,1.4,4.1,5.5,6.0,2.6,0.2,2.5,1.8,17.2,4854.81
Gilbert Arenas,2006,39.2,8.7,20.9,2.8,7.9,8.2,9.7,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4,28.4,14859.32
Shane Battier,2001,39.2,5.3,12.3,1.3,3.5,2.5,3.6,2.3,3.1,5.4,2.8,1.6,1.0,2.0,2.8,14.4,3362.741
Chris Webber,1997,39.1,9.1,18.9,0.9,2.9,2.8,4.7,2.5,7.0,9.5,3.8,1.6,1.7,2.6,3.8,21.9,15254.298
Chris Mills,1996,39.1,5.1,11.2,1.1,2.8,2.2,2.6,1.5,4.7,6.2,2.5,1.1,0.5,1.5,2.8,13.4,2141.318
Kevin Garnett,2000,39.1,8.6,18.0,0.2,0.8,4.6,5.9,2.7,8.7,11.4,4.9,1.4,1.8,2.8,2.6,22.0,30904.632
LeBron James,2003,39.1,7.9,18.9,0.8,2.7,4.4,5.8,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,5944.063
Steve Smith,1996,39.0,6.7,15.7,1.8,5.4,4.8,5.7,1.2,2.1,3.4,3.9,0.8,0.3,2.5,2.6,19.9,7802.373
Joe Johnson,2004,39.0,6.7,14.3,2.2,4.5,1.7,2.3,1.4,3.7,5.1,3.5,1.0,0.3,1.7,2.0,17.2,3378.589
Reggie Miller,2000,39.0,6.6,14.9,2.2,5.9,4.1,4.4,0.5,3.1,3.6,3.2,1.0,0.2,1.7,1.9,19.4,16815.523
Kevin Durant,2010,39.0,9.1,19.8,1.9,5.5,7.7,8.9,0.8,6.3,7.1,2.8,1.1,1.0,2.7,2.2,27.9,7545.963
